scenario,zone_id,timestep,clps
surge,zone_5,16,0.693
surge,zone_5,17,0.693
surge,zone_5,18,0.693
surge,zone_5,19,0.693
surge,zone_5,20,0.693
surge,zone_5,21,0.693
surge,zone_5,22,0.693
surge,zone_5,23,0.693
surge,zone_5,24,0.552
surge,zone_5,25,0.552
surge,zone_5,26,0.552
surge,zone_5,27,0.552
surge,zone_5,28,0.552
surge,zone_5,29,0.552
surge,zone_5,30,0.552
surge,zone_5,31,0.552
surge,zone_5,32,0.552
surge,zone_5,33,0.552
surge,zone_5,34,0.552
surge,zone_5,35,0.552
surge,zone_5,36,0.552
surge,zone_5,37,0.552
surge,zone_5,38,0.552
surge,zone_5,39,0.552
surge,zone_5,40,0.552
surge,zone_5,41,0.552
surge,zone_5,42,0.552
surge,zone_5,43,0.552
surge,zone_5,44,0.552
surge,zone_5,45,0.552
surge,zone_5,46,0.552
surge,zone_5,47,0.552
surge,zone_5,48,0.552
surge,zone_5,49,0.552
surge,zone_5,50,0.552
surge,zone_5,51,0.552
surge,zone_5,52,0.552
surge,zone_5,53,0.552
surge,zone_5,54,0.552
surge,zone_5,55,0.552
surge,zone_5,56,0.552
surge,zone_5,57,0.552
surge,zone_5,58,0.552
surge,zone_5,59,0.552
surge,zone_5,60,0.552
surge,zone_5,61,0.552
surge,zone_5,62,0.552
surge,zone_5,63,0.552
surge,zone_5,64,0.552
surge,zone_5,65,0.552
surge,zone_5,66,0.552
surge,zone_5,67,0.552
surge,zone_5,68,0.552
surge,zone_5,69,0.552
surge,zone_5,70,0.552
surge,zone_5,71,0.552
surge,zone_5,72,0.552
surge,zone_5,73,0.552
surge,zone_5,74,0.552
surge,zone_5,75,0.552
surge,zone_5,76,0.552
surge,zone_5,77,0.552
surge,zone_5,78,0.552
surge,zone_5,79,0.552
surge,zone_5,80,0.693
surge,zone_5,81,0.693
surge,zone_5,82,0.693
surge,zone_5,83,0.693
surge,zone_5,84,0.693
surge,zone_5,85,0.693
surge,zone_5,86,0.693
surge,zone_5,87,0.693
surge,zone_5,88,0.693
surge,zone_5,89,0.693
surge,zone_5,90,0.693
surge,zone_5,91,0.693
surge,zone_5,92,0.693
surge,zone_5,93,0.693
surge,zone_5,94,0.693
surge,zone_5,95,0.693
surge,zone_6,0,0.61
surge,zone_6,1,0.61
surge,zone_6,2,0.61
surge,zone_6,3,0.61
