segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
147,75.886201,17.679744,75.885847,17.680084,GI,0.05,53.19909,zone_1,Distribution Pipeline,complete,30,40,100
148,75.894741,17.633117,75.895213,17.632939,GI,0.05,53.85535,zone_5,Distribution Pipeline,complete,30,40,100
149,75.894837,17.633349,75.895383,17.633146,GI,0.05,62.14206,zone_5,Distribution Pipeline,complete,30,40,100
150,75.894906,17.633518,75.89515,17.633427,GI,0.05,27.78914,zone_5,Distribution Pipeline,complete,30,40,100
151,75.894961,17.633655,75.895359,17.633501,GI,0.05,45.47796,zone_5,Distribution Pipeline,complete,30,40,100
152,75.895072,17.633929,75.895491,17.633768,GI,0.05,47.88801,zone_5,Distribution Pipeline,complete,30,40,100
153,75.895,17.633019,75.894703,17.63232,GI,0.05,83.54244,zone_5,Distribution Pipeline,complete,30,40,100
154,75.887358,17.642872,75.88744,17.643254,GI,0.05,43.1699,zone_5,Distribution Pipeline,complete,30,40,100
155,75.887623,17.64281,75.887686,17.643184,GI,0.05,42.02633,zone_5,Distribution Pipeline,complete,30,40,100
156,75.887865,17.642752,75.887938,17.643127,GI,0.05,42.27307,zone_5,Distribution Pipeline,complete,30,40,100
157,75.888113,17.642696,75.888186,17.643064,GI,0.05,41.45374,zone_5,Distribution Pipeline,complete,30,40,100
158,75.888367,17.64264,75.888444,17.643005,GI,0.05,41.14397,zone_5,Distribution Pipeline,complete,30,40,100
159,75.8887,17.642568,75.888769,17.642936,GI,0.05,41.46002,zone_5,Distribution Pipeline,complete,30,40,100
160,75.889,17.642502,75.88908,17.642867,GI,0.05,41.27563,zone_5,Distribution Pipeline,complete,30,40,100
161,75.889459,17.643153,75.888637,17.643296,GI,0.05,88.65674,zone_5,Distribution Pipeline,complete,30,40,100
162,75.890287,17.642226,75.89026,17.642231,GI,0.05,2.84714,zone_5,Distribution Pipeline,complete,30,40,100
163,75.901728,17.639289,75.901585,17.638983,GI,0.05,38.59111,zone_5,Distribution Pipeline,complete,30,40,100
164,75.895719,17.645019,75.894641,17.647803,GI,0.05,429.4971,zone_6,Distribution Pipeline,complete,30,40,100
165,75.894738,17.64492,75.894418,17.647909,GI,0.05,332.53969,zone_6,Distribution Pipeline,complete,30,40,100
166,75.895853,17.645381,75.894778,17.645295,GI,0.05,114.57305,zone_6,Distribution Pipeline,complete,30,40,100
167,75.895437,17.645362,75.895262,17.647088,GI,0.05,191.91844,zone_6,Distribution Pipeline,complete,30,40,100
168,75.896029,17.64629,75.895513,17.64624,GI,0.05,61.89553,zone_6,Distribution Pipeline,complete,30,40,100
169,75.893059,17.640668,75.892515,17.640864,GI,0.05,68.40847,zone_5,Distribution Pipeline,complete,30,40,100
170,75.901458,17.639401,75.901816,17.639471,GI,0.05,53.39448,zone_5,Distribution Pipeline,complete,30,40,100
171,75.891818,17.642573,75.89087,17.642787,GI,0.05,103.31632,zone_5,Distribution Pipeline,complete,30,40,100
172,75.893643,17.642973,75.892918,17.643328,GI,0.05,86.33451,zone_5,Distribution Pipeline,complete,30,40,100
173,75.892892,17.64332,75.893221,17.643845,GI,0.05,67.81626,zone_5,Distribution Pipeline,complete,30,40,100
174,75.893054,17.64358,75.893418,17.643353,GI,0.05,46.06659,zone_5,Distribution Pipeline,complete,30,40,100
175,75.893153,17.643738,75.893519,17.643511,GI,0.05,46.17023,zone_5,Distribution Pipeline,complete,30,40,100
176,75.892655,17.646085,75.892663,17.645807,GI,0.05,30.8406,zone_6,Distribution Pipeline,complete,30,40,100
177,75.891438,17.642656,75.890951,17.642396,GI,0.05,84.00295,zone_5,Distribution Pipeline,complete,30,40,100
178,75.891009,17.642755,75.891343,17.642989,GI,0.05,63.30471,zone_5,Distribution Pipeline,complete,30,40,100
179,75.890693,17.642811,75.890325,17.642886,GI,0.05,39.98627,zone_5,Distribution Pipeline,complete,30,40,100
180,75.890678,17.642149,75.89026,17.642231,GI,0.05,45.2701,zone_5,Distribution Pipeline,complete,30,40,100
181,75.921923,17.639443,75.921739,17.639899,GI,0.05,67.27639,zone_5,Distribution Pipeline,complete,30,40,100
182,75.921932,17.639039,75.921923,17.639443,GI,0.05,44.7493,zone_5,Distribution Pipeline,complete,30,40,100
183,75.921035,17.639313,75.921572,17.638749,GI,0.05,84.45895,zone_5,Distribution Pipeline,complete,30,40,100
184,75.921366,17.638965,75.921839,17.639367,GI,0.05,67.04674,zone_5,Distribution Pipeline,complete,30,40,100
185,75.900502,17.629345,75.900509,17.629922,GI,0.05,63.87746,zone_5,Distribution Pipeline,complete,30,40,100
186,75.904426,17.630313,75.904936,17.629977,GI,0.05,89.47255,zone_5,Distribution Pipeline,complete,30,40,100
187,75.911209,17.633438,75.911423,17.633441,GI,0.05,89.64576,zone_5,Distribution Pipeline,complete,30,40,100
188,75.90801,17.635112,75.908263,17.635947,GI,0.05,96.28709,zone_5,Distribution Pipeline,complete,30,40,100
189,75.909416,17.636393,75.908744,17.636969,GI,0.05,137.38928,zone_5,Distribution Pipeline,complete,30,40,100
190,75.90391,17.638409,75.902834,17.638015,GI,0.05,135.90547,zone_5,Distribution Pipeline,complete,30,40,100
191,75.903538,17.637395,75.903443,17.637923,GI,0.05,59.2295,zone_5,Distribution Pipeline,complete,30,40,100
192,75.912313,17.632882,75.912287,17.632959,GI,0.05,8.96182,zone_5,Distribution Pipeline,complete,30,40,100
193,75.90294,17.639511,75.902119,17.638682,GI,0.05,126.52524,zone_5,Distribution Pipeline,complete,30,40,100
194,75.909432,17.626015,75.909396,17.625,GI,0.05,112.43547,zone_5,Distribution Pipeline,complete,30,40,100
195,75.909396,17.625,75.908571,17.624841,GI,0.05,103.75143,zone_5,Distribution Pipeline,complete,30,40,100
196,75.876303,17.698686,75.876452,17.69895,PVC,0.05,33.20672,zone_1,Distribution Pipeline,complete,10,25,150
197,75.876067,17.698805,75.876233,17.699077,PVC,0.05,34.83185,zone_1,Distribution Pipeline,complete,10,25,150
198,75.87583,17.698924,75.875992,17.699216,PVC,0.05,36.54379,zone_1,Distribution Pipeline,complete,10,25,150
199,75.87559,17.699045,75.875761,17.699349,PVC,0.05,38.22183,zone_1,Distribution Pipeline,complete,10,25,150
200,75.875152,17.69925,75.87534,17.699579,PVC,0.05,41.50993,zone_1,Distribution Pipeline,complete,10,25,150
201,75.887928,17.597926,75.887868,17.597894,PVC,0.05,7.32292,zone_5,Distribution Pipeline,complete,10,25,150
202,75.887868,17.597894,75.887288,17.598547,PVC,0.05,94.98792,zone_5,Distribution Pipeline,complete,10,25,150
203,75.887288,17.598547,75.886775,17.599078,PVC,0.05,80.05929,zone_5,Distribution Pipeline,complete,10,25,150
204,75.886775,17.599078,75.88636,17.599402,PVC,0.05,56.84947,zone_5,Distribution Pipeline,complete,10,25,150
205,75.88636,17.599402,75.885995,17.59961,PVC,0.05,45.005,zone_5,Distribution Pipeline,complete,10,25,150
206,75.885995,17.59961,75.885911,17.599753,PVC,0.05,18.17153,zone_5,Distribution Pipeline,complete,10,25,150
